Description,Category,Sub-Category,Title,Link,IconURL,Icon,FilePath
Your digital personal trainer,Health,,Sworkit,https://sworkit.com/,https://sworkit.com/wp-content/uploads/2019/05/cropped-favicon-192x192.png,,resources/health/sworkit.md
Video content showcasing specific home exercises,Health,,Fitness Blender,https://www.youtube.com/user/FitnessBlender,https://cloudfront.fitnessblender.com/assets/img/icon/apple-touch-icon.png?v=2,,resources/health/fitness-blender.md
Valuable tips on how to approach the current situation with your children,Health,,How to talk about Coronavirus with your kids,/how_to_talk_to_your_kids_about_coronavirus.pdf,,fas fa-child,resources/health/talk-to-your-kids.md
Three papers dealing with the future of work and the fourth industrial revolution ,Future of Work and Learning,,Desire to Learn,https://www.d2l.com/en-apac/future-of-work/,https://www.d2l.com/wp-content/themes/d2l-2016/dist/images/d2l-logo-full-2x.png,,resources/future-of-work-and-learning/Desire-to-learn.md
The full catalogue of AWS learning,Cloud,,AWS - Resource Center,https://aws.amazon.com/getting-started/,,fab fa-aws,resources/cloud/aws-resource-center.md
Quick maths - dancing = fitness,Health,,Hip Hop Health,https://hhph.org/repository/,https://hhph.org/wp-content/uploads/2015/05/hhph-favicon.png,,resources/health/hip-hop-health.md
Predominately technical focussed courses from Udemy,Personal Development,,Udemy,https://www.udemy.com/,https://www.udemy.com/staticx/udemy/images/v6/favicon-196x196.png,,resources/personal-development/udemy.md
Podcast from ABC,Finance,Finance Reading,ABC - The Economists,https://www.abc.net.au/radionational/programs/the-economists/,https://upload.wikimedia.org/wikipedia/en/5/57/ABC_Australia_logo.svg,,resources/finance/finance-reading/ABC-the-economists.md
Podcast from ABC,Finance,Finance Reading,ABC - The Money,https://www.abc.net.au/radionational/programs/themoney/ - weekly podcast,https://upload.wikimedia.org/wikipedia/en/5/57/ABC_Australia_logo.svg,,resources/finance/finance-reading/ABC-the-money.md
Paper from McKinsey on the future of work,Future of Work and Learning,,Mckinesey,https://www.mckinsey.com/featured-insights/future-of-work,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/McKinsey_Script_Mark_2019.svg/1920px-McKinsey_Script_Mark_2019.svg.png,,resources/future-of-work-and-learning/McKinsey.md
Learn the language you've always wanted to,Personal Development,,Duolingo,https://www.duolingo.com/,http://d35aaqx5ub95lt.cloudfront.net/images/duolingo-touch-icon2.png,,resources/personal-development/duolingo.md
Learn the basics of Python,Coding Fundamentals,,Python,https://www.learnpython.org/,https://www.python.org//static/apple-touch-icon-144x144-precomposed.png,,resources/coding-fundamentals/python.md
Learn the basics of Javascript,Coding Fundamentals,,Javascript,https://javascript.info/,https://upload.wikimedia.org/wikipedia/commons/6/6a/JavaScript-logo.png,,resources/coding-fundamentals/javascript.md
Learn the basics of Java,Coding Fundamentals,,Java,https://www.learnjavaonline.org/,https://upload.wikimedia.org/wikipedia/en/3/30/Java_programming_language_logo.svg,,resources/coding-fundamentals/java.md
Learn the basics of Go,Coding Fundamentals,,Go,https://tour.golang.org/welcome/1,https://golang.org/lib/godoc/images/go-logo-blue.svg,,resources/coding-fundamentals/go.md
Learn the basics of Github,Coding Fundamentals,,Github,https://guides.github.com/activities/hello-world/,,fab fa-github,resources/coding-fundamentals/github.md
Learn the basics of C#,Coding Fundamentals,,C#,https://www.guru99.com/c-sharp-tutorial.html,https://upload.wikimedia.org/wikipedia/commons/7/7a/C_Sharp_logo.svg,,resources/coding-fundamentals/csharp.md
Learn the basics of Bash,DevOps,,Bash,https://www.learnshell.org/,https://www.learnshell.org/static/img/logos/learnshell.org.png,,resources/devops/bash.md
